NOME_DO_CURSO,MODALIDADE,TURNO,CIDADE,LOCAL,PRECO,PRECO_COM_DESCONTO
Banco de Dados,TOTAL EAD,VIRTUAL,PELOTAS,CENTRO,426.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PELOTAS,CENTRO,426.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ARAMBARE,CIBISLANDIA,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ARAMBARE,CIBISLANDIA,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ARAMBARE,CIBISLANDIA,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,CRISTAL,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,CRISTAL,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,CRISTAL,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,RESTINGA SECA,CENTRO,381.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,RESTINGA SECA,CENTRO,381.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,RESTINGA SECA,CENTRO,381.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,FLORESTA (SÃO GERALDO),452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,FLORESTA (SÃO GERALDO),452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO ALEGRE,FLORESTA (SÃO GERALDO),452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PELOTAS,FRAGATA,426.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PELOTAS,FRAGATA,426.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PELOTAS,FRAGATA,426.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CANOAS,CANOAS (FATIMA),464.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CANOAS,CANOAS (FATIMA),464.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CANOAS,CANOAS (FATIMA),464.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTIAGO,GASPAR DUTRA,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTIAGO,GASPAR DUTRA,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTIAGO,GASPAR DUTRA,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SERAFINA CORREA,GRAMADINHO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SERAFINA CORREA,GRAMADINHO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SERAFINA CORREA,GRAMADINHO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CANOAS,GUAJUVIRAS,464.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CANOAS,GUAJUVIRAS,464.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CANOAS,GUAJUVIRAS,464.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,NOVO HAMBURGO,HAMBURGO VELHO,459.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,NOVO HAMBURGO,HAMBURGO VELHO,459.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,NOVO HAMBURGO,HAMBURGO VELHO,459.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTANA DO LIVRAMENTO,HIDRAULICA,394.83,139.0
